temperature ,humidity ,airquality ,waterlevels ,windspeed ,solarradiation ,soilmoisture ,timestamp
5.0,4.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:45:48

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:46:13

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:51:24

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:51:33

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:53:11

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:53:19

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 17:55:59

4.0,5.0,4.0,5.0,4.0,5.0,4.0,2023-08-15 17:56:15

5.0,4.0,5.0,5.0,4.0,5.0,4.0,2023-08-15 18:00:58

4.0,5.0,2.0,5.0,5.0,5.0,5.0,2023-08-15 18:01:12

4.0,5.0,4.0,5.0,4.0,5.0,4.0,2023-08-15 18:01:54

4.0,5.0,4.0,5.0,4.0,5.0,2.0,2023-08-15 18:02:06

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:02:11

4.0,4.0,5.0,5.0,2.0,1.0,0.0,2023-08-15 18:02:20

5.0,4.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:06:47

7.0,5.0,8.0,5.0,5.0,5.0,2.0,2023-08-15 18:06:55

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:20:00

5.0,4.0,5.0,4.0,5.0,4.0,5.0,2023-08-15 18:20:58

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:22:55

5.0,4.0,5.0,5.0,4.0,5.0,4.0,2023-08-15 18:23:26

5.0,5.0,5.0,4.0,5.0,5.0,4.0,2023-08-15 18:24:16

5.0,4.0,5.0,4.0,5.0,4.0,5.0,2023-08-15 18:28:08

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:34:48

5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-15 18:34:55

